order_id,order_date,region,segment,category,product,customer_id,quantity,unit_price,discount,revenue,cost,profit
ORD-101670,2025-01-13,Northeast,Corporate,Furniture,Cabinet,C1021,2,210.12,0.1,378.22,218.86,159.36
ORD-100378,2025-01-13,West,Corporate,Office Supplies,Paper,C1273,7,34.56,0.0,241.92,111.55,130.37
ORD-100916,2025-01-13,West,Home Office,Office Supplies,Paper,C1148,1,65.04,0.15,55.28,25.93,29.35
ORD-100554,2025-01-13,West,Home Office,Furniture,Chair,C1219,5,306.75,0.0,1533.75,1181.07,352.68
ORD-101007,2025-01-13,Midwest,Consumer,Office Supplies,Paper,C1264,3,70.5,0.0,211.5,124.42,87.08
ORD-100050,2025-01-14,Northeast,Consumer,Technology,Printer,C1198,6,275.71,0.1,1488.83,805.32,683.51
ORD-101318,2025-01-14,Midwest,Consumer,Technology,Laptop,C1106,1,96.76,0.0,96.76,52.19,44.57
ORD-101472,2025-01-14,Northeast,Consumer,Office Supplies,Binders,C1165,4,16.86,0.05,64.07,36.19,27.88
ORD-100675,2025-01-14,West,Consumer,Furniture,Chair,C1049,6,136.14,0.0,816.84,590.32,226.52
ORD-100891,2025-01-14,Midwest,Corporate,Office Supplies,Binders,C1037,3,73.01,0.1,197.13,105.8,91.33
ORD-101057,2025-01-14,West,Corporate,Office Supplies,Paper,C1132,6,59.09,0.05,336.81,178.89,157.92
ORD-100885,2025-01-14,Northeast,Consumer,Office Supplies,Labels,C1001,4,44.25,0.0,177.0,85.88,91.12
ORD-101748,2025-01-15,South,Corporate,Furniture,Bookcase,C1186,4,246.77,0.1,888.37,620.13,268.24
ORD-101775,2025-01-15,Midwest,Consumer,Technology,Laptop,C1079,1,273.64,0.1,246.28,168.09,78.19
ORD-101077,2025-01-15,Midwest,Consumer,Technology,Headset,C1183,4,327.2,0.15,1112.48,538.65,573.83
ORD-100903,2025-01-15,Northeast,Consumer,Technology,Headset,C1004,2,198.8,0.2,318.08,211.94,106.14
ORD-101103,2025-01-15,Midwest,Consumer,Office Supplies,Pens,C1185,5,62.19,0.05,295.4,153.1,142.3
ORD-100092,2025-01-15,Northeast,Consumer,Technology,Keyboard,C1045,5,362.21,0.05,1720.5,997.63,722.87
ORD-101485,2025-01-15,West,Consumer,Office Supplies,Paper,C1054,7,45.71,0.05,303.97,166.31,137.66
ORD-100134,2025-01-15,Midwest,Home Office,Furniture,Table,C1221,6,299.83,0.0,1798.98,1366.63,432.35
ORD-101454,2025-01-16,South,Corporate,Furniture,Bookcase,C1047,3,296.71,0.05,845.62,571.57,274.05
ORD-101490,2025-01-16,Northeast,Home Office,Office Supplies,Paper,C1297,6,48.81,0.0,292.86,147.76,145.1
ORD-100497,2025-01-16,Midwest,Corporate,Furniture,Desk,C1288,3,123.52,0.0,370.56,216.84,153.72
ORD-101344,2025-01-17,Midwest,Corporate,Furniture,Table,C1069,4,134.88,0.0,539.52,386.03,153.49
ORD-101408,2025-01-17,Northeast,Consumer,Furniture,Chair,C1203,7,273.29,0.1,1721.73,1180.46,541.27
ORD-101428,2025-01-17,South,Consumer,Technology,Keyboard,C1273,3,241.04,0.15,614.65,386.13,228.52
ORD-100329,2025-01-17,Northeast,Consumer,Furniture,Table,C1109,5,222.14,0.25,833.02,627.27,205.75
ORD-101183,2025-01-17,Midwest,Consumer,Furniture,Desk,C1185,6,209.92,0.0,1259.52,999.55,259.97
ORD-101699,2025-01-17,West,Corporate,Furniture,Table,C1290,7,296.14,0.0,2072.98,1214.82,858.16
ORD-101675,2025-01-17,Midwest,Consumer,Furniture,Desk,C1086,2,261.76,0.05,497.34,322.76,174.58
ORD-100352,2025-01-18,Northeast,Corporate,Furniture,Chair,C1080,4,265.89,0.0,1063.56,689.03,374.53
ORD-101227,2025-01-18,Midwest,Consumer,Technology,Headset,C1174,3,507.66,0.1,1370.68,1022.98,347.7
ORD-100636,2025-01-19,Northeast,Home Office,Technology,Keyboard,C1177,7,438.02,0.0,3066.14,1377.6,1688.54
ORD-100566,2025-01-19,Midwest,Consumer,Office Supplies,Paper,C1015,4,31.6,0.0,126.4,74.16,52.24
ORD-101226,2025-01-19,South,Consumer,Office Supplies,Binders,C1273,5,35.38,0.05,168.06,82.77,85.29
ORD-101296,2025-01-20,South,Corporate,Furniture,Cabinet,C1133,3,275.54,0.25,619.97,475.68,144.29
ORD-100383,2025-01-20,Northeast,Corporate,Office Supplies,Paper,C1017,7,37.83,0.0,264.81,168.3,96.51
ORD-100987,2025-01-20,South,Corporate,Technology,Monitor,C1214,5,206.09,0.0,1030.45,720.73,309.72
ORD-101569,2025-01-20,Midwest,Corporate,Technology,Laptop,C1054,3,501.33,0.0,1503.99,1046.83,457.16
ORD-100671,2025-01-20,Northeast,Home Office,Technology,Keyboard,C1064,3,248.73,0.0,746.19,512.95,233.24
ORD-100006,2025-01-21,Northeast,Home Office,Office Supplies,Labels,C1172,1,48.62,0.0,48.62,20.6,28.02
ORD-101740,2025-01-21,Northeast,Home Office,Technology,Monitor,C1084,5,358.54,0.1,1613.43,952.47,660.96
ORD-100044,2025-01-21,West,Consumer,Technology,Laptop,C1062,2,271.48,0.0,542.96,335.54,207.42
ORD-100307,2025-01-22,Northeast,Corporate,Office Supplies,Paper,C1078,6,37.15,0.05,211.75,113.67,98.08
ORD-100846,2025-01-22,Northeast,Consumer,Technology,Keyboard,C1269,4,188.3,0.0,753.2,525.87,227.33
ORD-101734,2025-01-22,Midwest,Consumer,Office Supplies,Paper,C1084,2,40.13,0.15,68.22,38.23,29.99
ORD-100025,2025-01-22,West,Consumer,Furniture,Chair,C1238,5,249.98,0.1,1124.91,861.82,263.09
ORD-101702,2025-01-22,Northeast,Consumer,Technology,Keyboard,C1169,7,256.13,0.25,1344.68,880.81,463.87
ORD-100482,2025-01-23,Northeast,Consumer,Office Supplies,Storage,C1087,1,37.47,0.0,37.47,20.47,17.0
ORD-100747,2025-01-23,South,Consumer,Office Supplies,Labels,C1244,2,49.22,0.1,88.6,46.83,41.77
ORD-101062,2025-01-23,Northeast,Consumer,Technology,Monitor,C1058,1,385.88,0.1,347.29,223.59,123.7
ORD-101129,2025-01-23,Midwest,Consumer,Furniture,Chair,C1172,2,147.32,0.2,235.71,136.95,98.76
ORD-101657,2025-01-23,West,Home Office,Technology,Laptop,C1139,5,423.74,0.0,2118.7,972.29,1146.41
ORD-101772,2025-01-24,West,Home Office,Office Supplies,Pens,C1269,2,46.87,0.0,93.74,57.25,36.49
ORD-101177,2025-01-25,Northeast,Consumer,Technology,Laptop,C1006,6,308.53,0.0,1851.18,1167.58,683.6
ORD-100580,2025-01-25,Midwest,Home Office,Technology,Keyboard,C1293,7,535.42,0.0,3747.94,2664.07,1083.87
ORD-100914,2025-01-25,South,Consumer,Technology,Keyboard,C1186,2,255.78,0.0,511.56,289.73,221.83
ORD-101444,2025-01-25,South,Corporate,Technology,Laptop,C1024,1,313.08,0.05,297.43,183.12,114.31
ORD-101190,2025-01-25,South,Consumer,Office Supplies,Paper,C1037,2,44.73,0.05,84.99,35.78,49.21
ORD-101599,2025-01-25,South,Corporate,Office Supplies,Paper,C1125,2,70.38,0.2,112.61,70.2,42.41
ORD-100918,2025-01-25,Midwest,Consumer,Office Supplies,Binders,C1208,7,70.62,0.0,494.34,281.08,213.26
ORD-101414,2025-01-25,South,Corporate,Office Supplies,Labels,C1206,1,54.4,0.1,48.96,33.28,15.68
ORD-100977,2025-01-26,Northeast,Consumer,Technology,Headset,C1275,1,486.92,0.05,462.57,281.86,180.71
ORD-101450,2025-01-26,Northeast,Consumer,Technology,Printer,C1105,3,176.55,0.2,423.72,240.66,183.06
ORD-100375,2025-01-26,Northeast,Home Office,Office Supplies,Pens,C1024,2,52.47,0.1,94.45,71.29,23.16
ORD-101720,2025-01-26,West,Consumer,Office Supplies,Labels,C1123,6,58.86,0.05,335.5,137.38,198.12
ORD-100872,2025-01-26,South,Home Office,Furniture,Table,C1004,7,359.11,0.1,2262.39,1829.21,433.18
ORD-101766,2025-01-27,Northeast,Consumer,Technology,Headset,C1251,7,309.56,0.1,1950.23,1104.4,845.83
ORD-101352,2025-01-27,West,Home Office,Office Supplies,Pens,C1084,6,53.19,0.0,319.14,180.92,138.22
ORD-101735,2025-01-27,Midwest,Corporate,Furniture,Cabinet,C1182,3,199.57,0.0,598.71,344.32,254.39
ORD-101758,2025-01-27,Midwest,Consumer,Office Supplies,Paper,C1023,1,44.51,0.0,44.51,31.26,13.25
ORD-100316,2025-01-27,Northeast,Home Office,Office Supplies,Storage,C1266,2,43.99,0.05,83.58,43.66,39.92
ORD-100109,2025-01-28,South,Corporate,Technology,Laptop,C1297,2,361.82,0.0,723.64,475.59,248.05
ORD-100906,2025-01-28,West,Home Office,Furniture,Chair,C1213,2,198.59,0.0,397.18,257.49,139.69
ORD-100696,2025-01-28,Midwest,Consumer,Technology,Headset,C1138,6,262.12,0.1,1415.45,730.34,685.11
ORD-100164,2025-01-28,Midwest,Consumer,Furniture,Desk,C1292,7,231.74,0.0,1622.18,1404.48,217.7
ORD-100886,2025-01-28,Northeast,Home Office,Furniture,Bookcase,C1091,7,108.98,0.1,686.57,440.49,246.08
ORD-101505,2025-01-29,South,Corporate,Technology,Printer,C1197,5,259.5,0.0,1297.5,731.49,566.01
ORD-101330,2025-01-29,Northeast,Consumer,Technology,Laptop,C1121,5,188.88,0.1,849.96,553.85,296.11
ORD-100149,2025-01-29,South,Corporate,Furniture,Cabinet,C1178,6,326.86,0.0,1961.16,1537.59,423.57
ORD-101152,2025-01-29,Northeast,Corporate,Office Supplies,Storage,C1074,2,37.42,0.05,71.1,28.78,42.32
ORD-100614,2025-01-29,Midwest,Consumer,Office Supplies,Storage,C1082,7,8.0,0.0,56.0,27.54,28.46
ORD-101591,2025-01-29,West,Consumer,Technology,Printer,C1053,5,288.25,0.15,1225.06,755.97,469.09
ORD-101715,2025-01-29,South,Consumer,Office Supplies,Binders,C1130,1,42.35,0.0,42.35,22.12,20.23
ORD-101375,2025-01-29,Northeast,Consumer,Office Supplies,Labels,C1043,2,39.08,0.05,74.25,31.35,42.9
ORD-100801,2025-01-30,Midwest,Consumer,Office Supplies,Paper,C1086,7,41.98,0.15,249.78,88.28,161.5
ORD-100959,2025-01-31,South,Corporate,Furniture,Table,C1249,6,164.97,0.05,940.33,724.65,215.68
ORD-101656,2025-01-31,West,Consumer,Office Supplies,Paper,C1190,2,28.01,0.05,53.22,31.49,21.73
ORD-101220,2025-02-01,South,Corporate,Technology,Laptop,C1147,6,426.11,0.05,2428.83,1446.49,982.34
ORD-100114,2025-02-02,Northeast,Consumer,Office Supplies,Binders,C1088,2,58.05,0.05,110.29,58.63,51.66
ORD-100507,2025-02-02,Midwest,Consumer,Furniture,Bookcase,C1060,2,199.43,0.0,398.86,240.19,158.67
ORD-100305,2025-02-02,Northeast,Corporate,Furniture,Bookcase,C1226,1,214.67,0.05,203.94,164.86,39.08
ORD-101716,2025-02-02,West,Consumer,Furniture,Chair,C1200,3,97.55,0.0,292.65,207.95,84.7
ORD-100927,2025-02-03,South,Consumer,Technology,Printer,C1022,6,429.02,0.0,2574.12,1614.37,959.75
ORD-101343,2025-02-03,Northeast,Corporate,Furniture,Chair,C1291,7,153.72,0.0,1076.04,742.26,333.78
ORD-100761,2025-02-03,Northeast,Consumer,Office Supplies,Labels,C1275,2,61.86,0.05,117.53,65.17,52.36
ORD-101495,2025-02-03,Northeast,Consumer,Furniture,Bookcase,C1046,3,280.08,0.05,798.23,469.44,328.79
ORD-100854,2025-02-03,South,Consumer,Technology,Headset,C1255,3,416.92,0.1,1125.68,687.19,438.49
ORD-100814,2025-02-03,West,Consumer,Technology,Monitor,C1217,2,471.4,0.1,848.52,480.72,367.8
ORD-100708,2025-02-04,South,Corporate,Office Supplies,Pens,C1079,4,67.81,0.0,271.24,138.99,132.25
ORD-100326,2025-02-04,Midwest,Home Office,Office Supplies,Labels,C1006,6,70.75,0.1,382.05,255.53,126.52
ORD-101027,2025-02-04,Northeast,Consumer,Office Supplies,Labels,C1277,2,32.73,0.1,58.91,33.73,25.18
ORD-100058,2025-02-04,West,Consumer,Technology,Keyboard,C1262,4,157.42,0.0,629.68,446.76,182.92
ORD-100523,2025-02-04,South,Corporate,Office Supplies,Labels,C1122,6,46.58,0.0,279.48,142.95,136.53
ORD-100123,2025-02-04,Northeast,Home Office,Furniture,Chair,C1226,3,227.2,0.2,545.28,455.96,89.32
ORD-100962,2025-02-05,Northeast,Consumer,Furniture,Bookcase,C1033,3,185.8,0.1,501.66,324.32,177.34
ORD-100545,2025-02-05,Northeast,Consumer,Technology,Laptop,C1204,3,223.82,0.0,671.46,373.93,297.53
ORD-100381,2025-02-05,Northeast,Consumer,Furniture,Chair,C1139,6,198.65,0.0,1191.9,816.99,374.91
ORD-101285,2025-02-05,Northeast,Corporate,Technology,Monitor,C1165,6,358.71,0.0,2152.26,1435.81,716.45
ORD-101396,2025-02-05,South,Consumer,Furniture,Table,C1170,6,200.92,0.0,1205.52,916.52,289.0
ORD-100150,2025-02-05,West,Corporate,Office Supplies,Storage,C1056,7,41.0,0.05,272.65,132.89,139.76
ORD-101691,2025-02-06,Northeast,Consumer,Technology,Monitor,C1159,5,153.55,0.0,767.75,639.12,128.63
ORD-101608,2025-02-06,Northeast,Home Office,Technology,Printer,C1131,7,159.35,0.0,1115.45,726.86,388.59
ORD-100337,2025-02-06,Northeast,Home Office,Office Supplies,Paper,C1126,1,35.96,0.1,32.36,11.33,21.03
ORD-100551,2025-02-06,Northeast,Corporate,Technology,Monitor,C1193,2,278.46,0.0,556.92,301.23,255.69
ORD-100267,2025-02-06,Northeast,Home Office,Furniture,Chair,C1016,3,248.18,0.2,595.63,452.64,142.99
ORD-100310,2025-02-07,South,Corporate,Office Supplies,Pens,C1143,2,36.83,0.0,73.66,44.26,29.4
ORD-101603,2025-02-07,West,Corporate,Office Supplies,Paper,C1051,1,34.14,0.05,32.43,19.0,13.43
ORD-100995,2025-02-07,Midwest,Home Office,Office Supplies,Labels,C1049,2,48.93,0.25,73.4,33.81,39.59
ORD-101083,2025-02-07,Midwest,Corporate,Office Supplies,Paper,C1185,2,33.3,0.05,63.27,34.86,28.41
ORD-101126,2025-02-07,South,Consumer,Office Supplies,Storage,C1004,1,35.59,0.05,33.81,19.42,14.39
ORD-101017,2025-02-07,West,Consumer,Furniture,Cabinet,C1206,6,281.43,0.0,1688.58,1211.0,477.58
ORD-101503,2025-02-08,West,Consumer,Office Supplies,Binders,C1172,1,64.16,0.0,64.16,34.07,30.09
ORD-100476,2025-02-08,South,Consumer,Furniture,Desk,C1141,5,258.25,0.05,1226.69,1104.02,122.67
ORD-101415,2025-02-08,South,Consumer,Technology,Headset,C1203,7,439.49,0.05,2922.61,1721.17,1201.44
ORD-100908,2025-02-08,Midwest,Corporate,Technology,Laptop,C1272,1,368.03,0.05,349.63,223.89,125.74
ORD-100765,2025-02-08,Midwest,Consumer,Technology,Laptop,C1089,4,257.1,0.0,1028.4,563.12,465.28
ORD-100372,2025-02-08,West,Corporate,Furniture,Bookcase,C1267,5,264.31,0.15,1123.32,749.82,373.5
ORD-101484,2025-02-08,South,Home Office,Furniture,Table,C1245,4,282.76,0.0,1131.04,666.89,464.15
ORD-101661,2025-02-08,Midwest,Consumer,Furniture,Chair,C1111,6,149.3,0.0,895.8,536.4,359.4
ORD-100585,2025-02-08,West,Consumer,Office Supplies,Pens,C1076,5,55.09,0.0,275.45,178.73,96.72
ORD-101071,2025-02-08,Midwest,Consumer,Furniture,Table,C1030,6,308.9,0.0,1853.4,1223.24,630.16
ORD-100249,2025-02-08,Northeast,Corporate,Office Supplies,Binders,C1175,3,25.76,0.0,77.28,55.0,22.28
ORD-100637,2025-02-08,West,Corporate,Furniture,Chair,C1246,3,262.37,0.2,629.69,347.82,281.87
ORD-101725,2025-02-08,Northeast,Consumer,Office Supplies,Labels,C1067,7,39.91,0.0,279.37,187.06,92.31
ORD-101598,2025-02-09,Midwest,Home Office,Technology,Keyboard,C1215,7,269.94,0.2,1511.66,913.46,598.2
ORD-101614,2025-02-09,Northeast,Consumer,Technology,Monitor,C1136,3,250.07,0.1,675.19,418.46,256.73
ORD-101320,2025-02-09,Midwest,Consumer,Technology,Headset,C1035,4,477.09,0.1,1717.52,1170.98,546.54
ORD-101623,2025-02-09,West,Consumer,Furniture,Chair,C1208,1,165.48,0.0,165.48,92.8,72.68
ORD-101625,2025-02-09,Northeast,Consumer,Office Supplies,Labels,C1226,6,75.66,0.15,385.87,190.74,195.13
ORD-100960,2025-02-09,South,Consumer,Furniture,Desk,C1074,5,206.58,0.0,1032.9,844.67,188.23
ORD-101342,2025-02-10,Northeast,Consumer,Technology,Keyboard,C1299,3,174.39,0.2,418.54,236.12,182.42
ORD-100108,2025-02-10,South,Home Office,Technology,Monitor,C1145,3,392.61,0.15,1001.16,702.4,298.76
ORD-100090,2025-02-10,Midwest,Consumer,Office Supplies,Paper,C1053,5,32.8,0.1,147.6,86.12,61.48
ORD-100699,2025-02-10,South,Consumer,Office Supplies,Labels,C1186,4,60.91,0.15,207.09,72.48,134.61
ORD-101413,2025-02-11,Northeast,Corporate,Office Supplies,Pens,C1080,6,14.64,0.05,83.45,54.5,28.95
ORD-101340,2025-02-11,Northeast,Corporate,Technology,Headset,C1279,7,241.43,0.05,1605.51,1108.84,496.67
ORD-100932,2025-02-11,Northeast,Corporate,Technology,Laptop,C1111,7,267.6,0.1,1685.88,1036.89,648.99
ORD-101051,2025-02-11,West,Consumer,Technology,Headset,C1153,6,55.11,0.15,281.06,161.19,119.87
ORD-100588,2025-02-11,South,Consumer,Furniture,Desk,C1006,4,170.48,0.0,681.92,451.83,230.09
ORD-101076,2025-02-11,Midwest,Corporate,Furniture,Cabinet,C1181,4,333.23,0.0,1332.92,840.08,492.84
ORD-100136,2025-02-11,South,Home Office,Technology,Keyboard,C1274,6,571.28,0.0,3427.68,2202.49,1225.19
ORD-100820,2025-02-12,South,Consumer,Office Supplies,Paper,C1185,3,30.49,0.0,91.47,58.14,33.33
ORD-100515,2025-02-12,Midwest,Consumer,Office Supplies,Labels,C1095,3,59.14,0.15,150.81,68.94,81.87
ORD-100166,2025-02-13,Northeast,Consumer,Furniture,Cabinet,C1219,1,151.97,0.0,151.97,116.0,35.97
ORD-100516,2025-02-13,West,Consumer,Furniture,Desk,C1265,2,306.76,0.1,552.17,304.85,247.32
ORD-100656,2025-02-13,Northeast,Home Office,Technology,Monitor,C1289,6,449.19,0.05,2560.38,1402.17,1158.21
ORD-100070,2025-02-13,Northeast,Consumer,Office Supplies,Labels,C1156,5,41.98,0.1,188.91,113.8,75.11
ORD-101426,2025-02-13,South,Corporate,Office Supplies,Paper,C1243,2,55.71,0.0,111.42,52.85,58.57
ORD-101653,2025-02-14,West,Consumer,Office Supplies,Binders,C1142,1,18.44,0.1,16.6,9.98,6.62
ORD-100160,2025-02-14,West,Consumer,Technology,Laptop,C1184,2,302.97,0.0,605.94,298.22,307.72
ORD-101642,2025-02-14,Northeast,Consumer,Office Supplies,Labels,C1057,6,82.26,0.1,444.2,275.1,169.1
ORD-100707,2025-02-15,Northeast,Corporate,Office Supplies,Binders,C1068,1,43.85,0.0,43.85,21.19,22.66
ORD-100333,2025-02-15,Northeast,Home Office,Office Supplies,Labels,C1053,4,16.7,0.0,66.8,32.85,33.95
ORD-101774,2025-02-15,South,Consumer,Office Supplies,Labels,C1077,5,35.44,0.05,168.34,101.7,66.64
ORD-101671,2025-02-15,Northeast,Corporate,Technology,Headset,C1016,4,275.54,0.0,1102.16,604.05,498.11
